業種名,和文社名,住所,業種,会社コード,公開有無,フリガナ,旧会社名,英文社名,郵便番号,電話,ＵＲＬ,営業所等,事業内容,仕入先,販売先,ブランド,取引銀行,設立年月,資本金,lat,lon
化学,アイ・エフ・エフ日本（株）,東京都品川区東大井１－２１－４　アイ・エフ・エフビル,製造業,4700,未上場,アイエフエフニッポン,,Ｉｎｔｅｒｎａｔｉｏｎａｌ　Ｆｌａｖｏｒｓ　＆　Ｆｒａｇｒａｎｃｅｓ　（Ｊａｐａｎ）　Ｌｔｄ．,140-0011,03-5460-0835,http://www.iff.com/,［工場］　御殿場市板妻３５ＴＥＬ０５５０－８９－６３７７,食品，化粧品用香料等の輸入・製造・販売,海外のＩＦＦグループ各社，国内業者,主要化粧品，石鹸，洗剤，香料，飲料・食品メーカー,,三菱東京ＵＦＪ,196509,"2,600",35.6036562,139.7411129
他サービス,（株）レナウンアパレル科学研究所,東京都品川区東大井３－１７－５　プリメール品川３・４階,その他非製造業,410424,未上場,レナウンアパレルカガクケンキュウジョ,,Ｒｅｎｏｗｎ　Ａｐｐａｒｅｌ　Ｉｎｓｔｉｔｕｔｅ　Ｉｎｃ．,140-0011,03-5763-8880,,,衣料品，繊維製品の品質管理・判定,,,,,199411,10,35.6008186,139.7388277
不動産,（株）アイ・エム・アイ,東京都品川区東大井５－６－１３　ＣＣビル,その他非製造業,101092,未上場,アイエムアイ,,Ｉｎｔｅｒｎａｔｉｏｎａｌ　Ｍａｌｌｓ　Ｉｎｃ．,140-0011,03-5460-1827,http://www.ccsystem.co.jp/imi/,,ショッピング・センターの企画および設計,,,,,199008,50,35.6077077,139.7373086
機械,日本フイツシヤ（株）,東京都品川区東品川１－２－５　ＮＯＦ品川港南ビル４階,製造業,8350,未上場,ニッポンフイツシヤ,,Ｎｉｐｐｏｎ　Ｆｉｓｈｅｒ　Ｃｏ．，　Ｌｔｄ．,140-0002,03-5769-6900,http://www.emerson.co.jp/div/jfisher/,［営業所］　大阪，名古屋，福島，千葉，姫路，横浜，中部（三重）　［工場］　千葉県佐倉市,コントロールバルブ，レギュレータ，コントローラー等の製造・販売,,,Ｆｉｓｈｅｒ,◎三井住友，三菱東京ＵＦＪ,196907,860,35.6228202,139.7446457
貨物運送,ディー・エイチ・エル・ジャパン（株）,東京都品川区東品川１－３７－８,その他非製造業,2380,未上場,ディーエイチエルジャパン,,ＤＨＬ　Ｊａｐａｎ，　Ｉｎｃ．,140-0002,0120-39-2580,http://www.dhl.co.jp/,［サービスセンター］　東京，横浜，千葉，埼玉，名古屋，大阪，広島，福岡等計３３ヶ所（沖縄ビジネスセンターを含む）（ＴＥＬ０１２０－３９－２５８０）,航空貨物運送取扱，自動車貨物運送，通関業，業務用書類および小荷物の急送業務（但し信書除く），付随するその他の業務,,,,,197908,50,35.6182898,139.7468686
化学,メキシケム　ジャパン（株）,東京都品川区東品川２－２－２０　天王洲郵船ビル１４階,製造業,103003,未上場,メキシケムジャパン,イネオスケミカル（株）（2010.4）,Ｍｅｘｉｃｈｅｍ　Ｆｌｕｏｒ　Ｊａｐａｎ　Ｌｔｄ．,140-0002,03-5462-8661,http://www.mexichem.com/,［工場］　広島県三原市円一町１－１－１帝人三原事業所内，川崎市川崎区扇町５－１昭和電工川崎事業所内,代替フロン製造販売，各種フルオロカーボン類・化学薬品販売，各種フルオロカーボン類分解処理,,,クリー１３４ａ（ＫＬＥＡ　１３４ａ），クリー１２５（ＫＬＥＡ　１２５）,三菱東京ＵＦＪ、みずほコーポ,199205,320,35.6221232,139.7501399
情報・システム・ソフト,ベクター・ジャパン（株）,東京都品川区東品川２－２－２０　天王洲郵船ビル１６階,情報通信･メディア,224596,未上場,ベクタージャパン,,Ｖｅｃｔｏｒ　Ｊａｐａｎ　Ｃｏ．，　Ｌｔｄ．,140-0002,03-5769-7800,http://www.vector-japan.co.jp/,,車載ネットワークシステム開発用各種ツール，ソフトウエアの販売,,,,,199808,50,35.6221232,139.7501399
石油・燃料卸売,コスモ石油販売（株）,東京都品川区東品川２－２－２０　天王洲郵船ビル２０階,その他非製造業,381602,未上場,コスモセキユハンバイ,,ＣＯＳＭＯ　ＯＩＬ　ＳＡＬＥＳ　ＣＯＲＰ．,140-0002,03-6710-1616,http://www.cosmo-sales.com/,,石油製品の販売,,,,,193502,80,35.6221232,139.7501399
その他卸売,富士ゼロックスインターフィールド（株）,東京都品川区東品川２－２－２０　天王洲郵船ビル２１階,その他非製造業,381533,未上場,フジゼロックスインターフィールド,,Ｆｕｊｉ　Ｘｅｒｏｘ　ＩｎｔｅｒＦｉｅｌｄ　Ｃｏ．，　Ｌｔｄ．,140-0002,03-5495-9531,http://www.fxif.co.jp/,,用紙，事務機器，消耗品の販売他,,,,,200705,50,35.6221232,139.7501399
化学卸売,ダウ・ケミカル日本（株）,東京都品川区東品川２－２－２４　天王洲セントラルタワー,その他非製造業,2560,未上場,ダウケミカルニッポン,,Ｄｏｗ　Ｃｈｅｍｉｃａｌ　Ｊａｐａｎ　Ｌｔｄ．,140-8617,03-5460-2100,,［営業所］　東京ＴＥＬ０３－５４６０－２１００　［工場］　（衣浦）愛知県半田市日東町４－１ＴＥＬ０５６９－２３－１１１１,基礎化粧品・汎用プラスチック３５％，特殊化学品５０％，農薬１５％,ザ・ダウ・ケミカル・カンパニー,三菱商事，双日，伊藤忠商事，三井物産，丸紅，他,,,197408,"8,430",35.6228215,139.7486778
化学,日本アクリル化学（株）,東京都品川区東品川２－２－２４　天王洲セントラルタワー,製造業,4870,未上場,ニッポンアクリルカガク,,Ｊａｐａｎ　Ａｃｒｙｌｉｃ　Ｃｈｅｍｉｃａｌ　Ｃｏ．，　Ｌｔｄ．,140-8617,03-5460-2150,,［工場］　名古屋,アクリル系エマルジョンの製造・販売,東亜合成化学,ローム＆ハース・ジャパン,プライマル,三井住友,196212,305,35.6228215,139.7486778
化学,ローム・アンド・ハース・ジャパン（株）,東京都品川区東品川２－２－２４　天王洲セントラルタワー,製造業,10300,未上場,ロームアンドハースジャパン,,Ｒｏｈｍ　ａｎｄ　Ｈａａｓ　Ｊａｐａｎ　Ｋ．Ｋ．,140-8617,03-5460-2150,http://www.dow.com/,［工場］　相馬,防腐防黴剤，イオン交換樹脂，アクリル系エマルジョン，中空ポリマー，工業用接着剤，プラスチック添加剤，フォーミュレーションケミカルズの製造・輸入・販売・研究開発,ローム・アンド・ハース，日本アクリル化学，他,オルガノ，日本ゼオン，リンレイ，電気化学工業，他,アンバーライト，プライマル，ケーソン，パラロイド，他,◎三井住友，シティ，みずほ,197601,190,35.6228215,139.7486778
精密機器卸売,チバビジョン（株）,東京都品川区東品川２－２－２４　天王洲セントラルタワー,その他非製造業,102021,未上場,チバビジョン,チバビジョン・リッキー（株）（1997）,ＣＩＢＡ　Ｖｉｓｉｏｎ　Ｋ．Ｋ．,140-0002,03-5461-1301,http://www.cibavision.jp/,,コンタクトレンズ，レンズケア用品の製造・輸入・販売,,,デイリーズアクア，Ｏ２オプティクス，エアオプティクス，フレッシュルックカラー，他,,198501,100,35.6228215,139.7486778
化学,ローム・アンド・ハース電子材料（株）,東京都品川区東品川２－２－２４　天王洲セントラルタワー,製造業,200421,未上場,ロームアンドハースデンシザイリョウ,シプレイ・ファーイースト（株）（2004.2）,Ｒｏｈｍ　ａｎｄ　Ｈａａｓ　Ｅｌｅｃｔｒｏｎｉｃ　Ｍａｔｅｒｉａｌｓ　Ｋ．Ｋ．,140-8617,03-5460-2200,http://www.dow.com/,［工場］　新潟県阿賀野市,プリント基板・半導体製造用薬品，金属表面処理剤，樹脂メッキ薬品の製造・販売・輸出入，アフターサービス,ローム・アンド・ハース　エレクトロニック　マテリアルズＬＬＣ,シャープ，富士通，ＮＥＣ，東芝，パナソニック，三菱電機，沖電気，日立製作所,ローム・アンド・ハース,三井住友，シティ,197601,480,35.6228215,139.7486778
化学,ダウ化工（株）,東京都品川区東品川２－２－２４　天王洲セントラルタワー１１階,製造業,2580,未上場,ダウカコウ,,Ｄｏｗ　Ｋａｋｏｈ　Ｋ．Ｋ．,140-0002,03-5460-2351,http://www.dowkakoh.co.jp/,［事務所］　大阪　［営業所］　北海道（札幌），東北（仙台），中部（名古屋），九州（福岡）　［研究所］　鹿沼　［工場］　鹿沼，笠岡,スチレン系合成樹脂類の製造・開発・販売,,,スタイロフォーム，ウッドラック,,198205,"2,300",35.6228215,139.7486778
貨物運送,西濃シェンカー（株）,東京都品川区東品川２－２－２４　天王洲セントラルタワー１６階,その他非製造業,5220,未上場,セイノウシェンカー,（株）ジャパンシェンカー（2002.4）,Ｓｃｈｅｎｋｅｒ－Ｓｅｉｎｏ　Ｃｏ．，　Ｌｔｄ．,140-0002,03-5769-7300,http://www.schenker-seino.co.jp/,［支店］　大阪，名古屋　［営業所］　札幌，福岡，沖縄,輸出入・三国間の航空・海上貨物取扱い業務，通関業務，国際貨物運送に関するコンサルタント業務，展示会物品輸送取扱，自動車運送取扱業務,ルフトハンザ航空，西濃運輸，セイノー通関，ＭＯＬ，日本航空,シーメンス，三菱重工業，日揮，千代田化工建設，三井物産,,三井住友,198805,140,35.6228215,139.7486778
医薬品卸売,バイオ・ラッド　ラボラトリーズ（株）,東京都品川区東品川２－２－２４　天王洲セントラルタワー２０階,その他非製造業,8180,未上場,バイオラッドラボラトリーズ,日本バイオ・ラッド　ラボラトリーズ（株）（2007.5）,Ｂｉｏ－Ｒａｄ　Ｌａｂｏｒａｔｏｒｉｅｓ　Ｋ．Ｋ．,140-0002,03-6361-6900,http://www.bio-rad.co.jp/,［営業所］　大阪，福岡，サービスセンター,ライフサイエンス関連研究用試薬・機器，体外診断用医薬品，臨床検査用医療機器の卸売・販売・保守,米国バイオ・ラッド　ラボラトリーズ社,国公立研究機関，病院，検査センター，大学，企業，他,,三菱東京ＵＦＪ,197910,400,35.6228215,139.7486778
化学,サンアロマー（株）,東京都品川区東品川２－２－２４　天王洲セントラルタワー２７階,製造業,208879,未上場,サンアロマー,モンテル・エスディーケイ・サンライズ（株）（2001.1）,ＳｕｎＡｌｌｏｍｅｒ　Ｌｔｄ．,140-0002,03-5781-5608,http://www.sunallomer.co.jp/,［支店］　大阪，名古屋　［工場］　大分，川崎　［ディベロップメントセンター］　川崎,合成樹脂の製造・加工・販売ならびにこれに付帯関連する事業,,,ＳＵＮ－ＡＬＬＯＭＥＲ,,199906,"6,200",35.6228215,139.7486778
化学卸売,シグマ　アルドリッチ　ジャパン（株）,東京都品川区東品川２－２－２４　天王洲セントラルタワー４階,その他非製造業,202540,未上場,シグマアルドリッチジャパン,スペルコ・ジャパン（1994.11）,Ｓｉｇｍａ－Ａｌｄｒｉｃｈ　Ｊａｐａｎ　Ｋ．Ｋ．,140-0002,03-5796-7300,http://www.sigmaaldrich.com/japan.html,［営業所］　大阪　［物流センター］　市川　［事業所］　石狩,試薬，化成品，化学機材，分析機材の輸入・販売,,,,三菱東京ＵＦＪ,197809,100,35.6228215,139.7486778
その他卸売,ハンスグローエ　ジャパン（株）,東京都品川区東品川２－２－４　天王州ファーストタワー２階,その他非製造業,222183,未上場,ハンスグローエジャパン,,Ｈａｎｓｇｒｏｈｅ　Ｊａｐａｎ　Ｋ．Ｋ．,140-0002,03-5424-1956,http://www.hansgrohe.co.jp/,,浴室・洗面・キッチン向け水栓金具等のサニタリー製品の輸入・販売・マーケティング・技術サポート,,,,,200303,100,35.6234747,139.7494257
化学,ヘンケルジャパン（株）,東京都品川区東品川２－２－８　スフィアタワー天王洲１４階,製造業,100,未上場,ヘンケルジャパン,,ＨＥＮＫＥＬ　ＪＡＰＡＮ　ＬＴＤ．,140-0002,03-5769-6427,http://www.henkel.co.jp/,,化粧品の輸入・製造・販売，接着剤およびシーリング剤の製造・加工・輸入・販売，表面処理剤の輸入・製造・販売,,,,,196212,499,35.6229184,139.7496359
化学,シュワルツコフ　ヘンケル（株）,東京都品川区東品川２－２－８　スフィアタワー天王洲１４階,製造業,210221,未上場,シュワルツコフヘンケル,ヘンケルライオンコスメティックス（株）（2005.4）,Ｓｃｈｗａｒｚｋｏｐｆ　＆　Ｈｅｎｋｅｌ　Ｋ．Ｋ．,140-0002,03-5783-1826,http://www.schwarzkopf-henkel.co.jp/,［支店］　東京，名古屋，大阪，福岡,ヘアカラー，頭髪用化粧品の製造・販売,,,サイオス，パオン，フレッシュライト，フェミニン，マロン,,193509,27,35.6229184,139.7496359
精密機器卸売,マッケ・ジャパン（株）,東京都品川区東品川２－２－８　スフィアタワー天王洲２３階,その他非製造業,204173,未上場,マッケジャパン,マッケ・ゲティンゲ（株）（2006.12）,ＭＡＱＵＥＴ－Ｊａｐａｎ　Ｋ．Ｋ．,140-0002,03-5463-8310,http://www.maquet.com/japan/,,医療機器の輸入販売,,,,,198806,80,35.6229184,139.7496359
電気機器,日本ワイドミュラー（株）,東京都品川区東品川２－２－８　スフィアタワー天王洲８階,製造業,200954,未上場,ニッポンワイドミュラー,,Ｗｅｉｄｍｕｌｌｅｒ　Ｊａｐａｎ　Ｃｏ．，　Ｌｔｄ．,140-0002,03-6711-5300,http://www.weidmuller.co.jp/,［支店］　東京（品川），大阪（大阪市淀川区西中島６－１－１新大阪プライムタワー１４階ＴＥＬ０６－６３０４－６９６３），名古屋（名古屋市中区錦３－５－３１ジブラルタ生命名古屋錦ビル３階ＴＥＬ０５２－２２８－７７８８）,端子台，コネクタ，インターフェイスモジュール等の電子部品機器の製造販売,ＷＥＩＤＭＵＬＬＥＲ（独）,,,,198003,‥,35.6229184,139.7496359
情報・システム・ソフト,ナグラメディア・ジャパン（株）,東京都品川区東品川２－２－８　天王洲スフィアタワー２２階,情報通信･メディア,209072,未上場,ナグラメディアジャパン,オープンティービー・ジャパン（株）（2010.7）,Ｎａｇｒａ　Ｍｅｄｉａ　Ｊａｐａｎ　Ｋ．Ｋ．,140-0002,03-5781-1011,http://www.opentv.com/,,双方向ＴＶ，インターネット関連ソフトウエアの開発販売,,,,,200002,10,35.6229935,139.7496681
その他卸売,（株）ナイキジャパン,東京都品川区東品川２－３－１２　シーフォートスクエアセンタービル,その他非製造業,207071,未上場,ナイキジャパン,,Ｎｉｋｅ　Ｊａｐａｎ　Ｃｏｒｐ．,140-8631,03-5463-3300,http://nike.jp/,［支店］　大阪,スポーツ用品（フットウェア，アパレル，バック等）の卸売り販売,各契約工場,全国販売代理店等を通じて全国のスポーツショップ・シューズショップ等,ＮＩＫＥ,シティ，三菱東京ＵＦＪ，ＨＳＢＣ,198110,300,35.6237463,139.7508705
貸金・信販・カード,シティカードジャパン（株）,東京都品川区東品川２－３－１４　シティグループセンター,金融･保険,210003,未上場,シティカードジャパン,,Ｃｉｔｉ　Ｃａｒｄｓ　Ｊａｐａｎ，　Ｉｎｃ．,140-8639,03-5462-6200,http://www.diners.co.jp/,,クレジットカード業，貸金業，保険代理業，信用保証業,,,,,197704,100,35.6241097,139.7505859
銀行,シティバンク銀行（株）,東京都品川区東品川２－３－１４　シティグループセンター,金融･保険,990300,未上場,シティバンクギンコウ,,Ｃｉｔｉｂａｎｋ　Ｊａｐａｎ　Ｌｔｄ．,140-8639,03-5462-5000,http://www.citibank.co.jp/,［支店］　東京駅前，大手町，新宿東口，新宿南口，赤坂，青山，銀座，五反田，横浜，名古屋，神戸，幕張，梅田，池袋，広尾，心斎橋，渋谷，立川，京都，札幌，福岡，千葉，浦和，大阪駅前，芦屋，日本橋他　［出張所］　吉祥寺，自由が丘，藤沢，成城，青葉台，名古屋駅他,銀行業,,,シティバンク,,200707,"123,100",35.6241097,139.7505859
電気機器卸売,日本シーゲイト（株）,東京都品川区東品川２－５－８　天王洲パークサイドビル３階,その他非製造業,200406,未上場,ニッポンシーゲイト,シーゲイトテクノロジージャパン（株）（1989.4）,Ｎｉｐｐｏｎ　Ｓｅａｇａｔｅ　Ｉｎｃ．,140-0002,03-5462-2901,http://www.seagate.com/,,コンピュータのハードディスクドライブの製造販売,,,,三菱東京ＵＦＪ,198504,390,35.6211071,139.7504171
その他卸売,メフィストジャパン（株）,東京都品川区東品川２－６－４　Ｇ１ビル３階,その他非製造業,202991,未上場,メフィストジャパン,メフィスト（株）（2004.4）,ＭＥＰＨＩＳＴＯ　ＪＡＰＡＮ　ＣＯＲＰ．,140-0002,03-5781-9660,http://www.mephisto.com/,,靴の輸入卸,,,,,198510,20,35.6206733,139.7482399
機械卸売,ハイデルベルグ・ジャパン（株）,東京都品川区東品川３－３１－８,その他非製造業,9970,未上場,ハイデルベルグジャパン,ハイデルベルグＰＭＴ（株）（1999.10）,Ｈｅｉｄｅｌｂｅｒｇ　Ｊａｐａｎ　Ｋ．Ｋ．,140-8541,03-5715-7255,http://www.jp.heidelberg.com/,［支社］　大阪　［支店］　仙台，名古屋，広島，福岡,独ハイデルベルグ社のプリプレス・印刷・製本・断裁機械，周辺・関連機器装置等の輸入・販売ならびにメンテナンスサービス等,独ハイデルベルグ社，他,国内印刷会社，官公庁,,みずほ，三菱東京ＵＦＪ,199904,490,35.6128964,139.7498675
他サービス,ミレア・モンディアル（株）,東京都品川区東品川４－１２－１　品川シーサイドサウスタワー３階,その他非製造業,381001,未上場,ミレアモンディアル,,Ｍｉｌｌｅａ　Ｍｏｎｄｉａｌ　Ｃｏ．，　Ｌｔｄ．,140-0002,03-5783-7680,http://www.millea-mondial.co.jp/jp/aboutus/,,総合アシスタンスサービス,,,,,199407,100,35.6084321,139.7478793
情報・システム・ソフト,リンクシェア・ジャパン（株）,東京都品川区東品川４－１２－３　品川シーサイド楽天タワー,情報通信･メディア,222317,未上場,リンクシェアジャパン,,ＬｉｎｋＳｈａｒｅ　Ｊａｐａｎ　Ｋ．Ｋ．,140-0002,03-6387-1000,http://jp.linkshare.com/,,パフォーマンスベースのオンラインサービス事業,,,,,200412,259,35.6093858,139.7485526
自動車販売,ゼネラルモーターズ・ジャパン（株）,東京都品川区東品川４－１２－８　品川シーサイド　イーストタワー８階,その他非製造業,220427,未上場,ゼネラルモーターズジャパン,ゼネラルモーターズ・アジアパシフィック・ジャパン（株）（2011.1）,Ｇｅｎｅｒａｌ　Ｍｏｔｏｒｓ　（Ｊａｐａｎ）　Ｌｔｄ．,140-8687,03-6711-5600,http://www.gmjapan.co.jp/,,キャデラック，シボレーブランド車の輸入・卸売，米本社の日本でのセールス，マーケティング，アフターセールス，財務・戦略企画・情報システム・広報・渉外・法務，他,,,,,200104,10,35.6090599,139.74889
情報・システム・ソフト,（株）ＳＪＩ,東京都品川区東品川４－１２－８　品川シーサイドイーストタワー,情報通信･メディア,403227,上場,エスジェイアイ,（株）ＳＪホールディングス（2009.7）,ＳＪＩ　Ｉｎｃ．,140-0002,03-5769-8200,http://www.sji-inc.jp/,,情報サービス６９％，石油化学エンジニアリングサービス３１％,,,,,198907,"3,552",35.6090599,139.74889
情報・システム・ソフト,昭和シェルビジネス　＆　ＩＴソリューションズ（株）,東京都品川区南大井１－７－８　テクノピア大井,情報通信･メディア,220787,未上場,ショウワシェルビジネスアンドアイティーソリューションズ,シェル・サービス・インターナショナル（株）（2007.4）,Ｓｈｏｗａ　Ｓｈｅｌｌ　Ｂｕｓｉｎｅｓｓ　＆　ＩＴ　Ｓｏｌｕｔｉｏｎｓ　Ｌｔｄ．,140-0013,03-5493-4300,http://www.sbis.co.jp/,,情報システムの開発・運用，コンサルティング，インストラクチャー構築,,,,みずほ，東日本,198811,100,35.5955327,139.7400551
輸送機器,ニッサン・モータースポーツ・インターナショナル（株）,東京都品川区南大井２－１０－６,製造業,381555,未上場,ニッサンモータースポーツインターナショナル,,ＮＩＳＳＡＮ　ＭＯＴＯＲＳＰＯＲＴＳ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ　ＣＯ．，　ＬＴＤ．,140-8563,03-3763-2331,http://www.nismo.co.jp/,,レース・ラリー車両の設計・開発他,,,,,198409,495,35.5902484,139.7366517
電気機器,エフシーアイジャパン（株）,東京都品川区南大井３－２８－１０,製造業,207104,未上場,エフシーアイジャパン,バーグ　エレクトロニクス　ジャパン（株）（1999.1）,ＦＣＩ　Ｊａｐａｎ　Ｋ．Ｋ．,140-8581,03-5493-5210,http://www.fci.com/,［工場］　石岡市　［支店］　大阪　［営業所］　名古屋,コネクターの製造・輸出,,,,,199212,"3,336",35.5881241,139.7328017
電気機器卸売,ジャパンオートニクス（株）,東京都品川区南大井６－１６－４　戸浪大森ビル３階Ａ室,その他非製造業,410061,未上場,ジャパンオートニクス,,Ａｕｔｏｎｉｃｓ　Ｊａｐａｎ　Ｃｏｒｐ．,140-0013,03-6404-8191,http://autonics.jp/,,制御機器部品の販売,,,,,199610,140,35.591306,139.7306754
精密機器卸売,ボシュロム・ジャパン（株）,東京都品川区南大井６－２６－２　大森ベルポートＢ館,その他非製造業,1110,未上場,ボシュロムジャパン,,Ｂａｕｓｃｈ　＆　Ｌｏｍｂ　Ｊａｐａｎ　Ｃｏ．，　Ｌｔｄ．,140-0013,03-5763-3700,http://www.bausch.co.jp/,［営業所］　札幌，仙台，大宮，東京，名古屋，大阪，広島，福岡,コンタクトレンズ，レンズケア用品および眼内レンズ，眼科用手術機器の製造，輸入，販売,Ｂａｕｓｃｈ　＆　Ｌｏｍｂ　Ｉｎｃ．,眼科医，眼鏡チェーン店，眼鏡卸店，光学機械特約店，病院，他,メダリスト，レニュー，オキュバイト，他,,197806,100,35.5878698,139.7312884
精密機器卸売,（株）アドコールファーイースト,東京都品川区南大井６－２６－２　大森ベルポートＢ館コマツＮＴＣ（株）内,その他非製造業,202454,未上場,アドコールファーイースト,,Ａｄｃｏｌｅ　Ｆａｒ　Ｅａｓｔ　Ｌｔｄ．,140-0013,03-5471-7710,http://www.adcole-far-east.co.jp/,,各種計測機器の販売・サービス,,,,,198611,25,35.5878698,139.7312884
総合卸売,メトロ　キャッシュ　アンド　キャリー　ジャパン　（株）,東京都品川区南大井６－２６－３　大森ベルポートＤ館７階,その他非製造業,220575,未上場,メトロキャッシュアンドキャリージャパン,,ＭＥＴＲＯ　Ｃａｓｈ　＆　Ｃａｒｒｙ　Ｊａｐａｎ　Ｋ．Ｋ．,140-0013,03-5763-8400,http://www.metro-cc.jp/,［卸売センター］　（千葉）千葉市美浜区新港４２－１，（川口安行）川口市安行領家７９１－５，（多摩境）東京都町田市小山ヶ丘６－４－８，（宇都宮）宇都宮市川田町８０６－１，（流山）千葉県流山市西平井９５２－２，（横浜いずみ）横浜市泉区和泉町７４０５－１１，（高崎）群馬県高崎市菅谷町２０－９８４，（辰巳）江東区辰巳２－４－１０，（市川）千葉県市川市田尻３－２－２５,食料品を中心とした業務用登録制卸売店の運営,,,,,200011,"13,490",35.5886947,139.7315934
輸送用機器卸売,Ｋｏｎｇｓｂｅｒｇ　Ａｕｔｏｍｏｔｉｖｅ（株）,東京都品川区北品川１－１１－１　寿ビル５階,その他非製造業,403398,未上場,コングスバーグオートモーティブ,,Ｋｏｎｇｓｂｅｒｇ　Ａｕｔｏｍｏｔｉｖｅ　ＫＫ,140-0001,03-5783-0804,http://www.kongsbergautomotive.com/,,変速装置，クラッチ作動システム等，自動車部品の販売,,,,,201101,9,35.6245607,139.7423165
精密機器卸売,日本ウォーターズ（株）,東京都品川区北品川１－３－１２　第５小池ビル,その他非製造業,380889,未上場,ニッポンウォーターズ,,Ｎｉｈｏｎ　Ｗａｔｅｒｓ　Ｋ．Ｋ．,140-0001,03-3471-7191,http://www.waters.com/jp,,分析機器およびその関連製品の輸入・販売・サポート,,,,,199511,430,35.6228894,139.7398955
機械卸売,キューリック・アンド・ソファ・ジャパン（株）,東京都品川区北品川１－３－１２　第５小池ビル１階,その他非製造業,5920,未上場,キューリックアンドソファジャパン,,Ｋｕｌｉｃｋｅ　＆　Ｓｏｆｆａ　（Ｊａｐａｎ），　Ｌｔｄ．,140-0001,03-5769-6100,http://www.ksj.jp/,［サービスセンター］　本社,ワイヤ・ボンダー等の半導体製造装置の輸入販売および保守サービス,Ｋｕｌｉｃｋｅ＆Ｓｏｆｆａグループ企業（米，アジア）,パナソニック，ルネサス，三洋，ローム，ＴＩ，アムコー，ジェイデバイス,Ｋ＆Ｓ,◎三菱東京ＵＦＪ，バンクオブアメリカ,198101,325,35.6229502,139.7398908
精密機器卸売,ザルトリウス・メカトロニクス・ジャパン（株）,東京都品川区北品川１－８－１１,その他非製造業,100512,未上場,ザルトリウスメカトロニクスジャパン,ザルトリウス（株）（2007.9）,Ｓａｒｔｏｒｉｕｓ　Ｍｅｃｈａｔｒｏｎｉｃｓ　Ｊａｐａｎ　Ｋ．Ｋ．,140-0001,03-3740-5407,http://www.sartorius.co.jp/,［営業所］　（大阪）大阪市淀川区宮原４－３－３９，（名古屋）名古屋市東区代官町３５－１６　［技術サービスセンター］　東京都品川区東品川４－１３－３４　［ＪＣＳＳ校正室］　東京都杉並区上高井戸１－１４－４,精密電子天びん，工業用台はかり，産業用ロードセルの輸入販売，修理，校正,,,,三菱東京ＵＦＪ，ドイツ,198708,328,35.6238774,139.7418313
機械卸売,アイクストロン（株）,東京都品川区北品川１－８－１１　Ｄａｉｗａ品川Ｎｏｒｔｈビル９階,その他非製造業,222003,未上場,アイクストロン,,ＡＩＸＴＲＯＮ　Ｋ．Ｋ．,140-0001,03-5781-0931,http://www.aixtron.com/,,化合物半導体の製造装置販売，メンテナンス，サポート等,,,ＡＩＸＴＲＯＮ，ＧＥＮＵＳ，ＴＨＯＭＡＳ　ＳＷＡＮ，ＥＰＩＧＲＥＳＳ,三菱東京ＵＦＪ,200101,99,35.6237891,139.7416917
情報・システム・ソフト,メンター・グラフィックス・ジャパン（株）,東京都品川区北品川４－７－３５　御殿山ガーデン,情報通信･メディア,100811,未上場,メンターグラフィックスジャパン,,Ｍｅｎｔｏｒ　Ｇｒａｐｈｉｃｓ　Ｊａｐａｎ　Ｃｏ．，　Ｌｔｄ．,140-0001,03-5488-3035,http://www.mentorg.co.jp/,［支店］　（大阪）　大阪市淀川区西宮原２－１－３ＴＥＬ０６－６３９９－９５２１，（名古屋）名古屋市中区栄４－２－２９ＴＥＬ０５２－２４９－２１０１,エレクトロニクス製品の自動設計ソフトウエアの販売・開発およびコンサルティングサービス,,,,,198303,480,35.6237579,139.7338284
電気機器卸売,ｄＳＰＡＣＥ　Ｊａｐａｎ（株）,東京都品川区北品川４－７－３５　御殿山トラストタワー１０階,その他非製造業,360150,未上場,ディースペースジャパン,,ｄＳＰＡＣＥ　Ｊａｐａｎ　Ｋ．Ｋ．,140-0001,03-5798-5460,http://www.dspace.jp/,,自動車産業・航空事業・産業用の電子制御機器の電子モジュールハードウエア，ソフトウエア・ツール等の輸入及び販売,,,,,200509,25,35.6221677,139.7370215
電気機器卸売,スタンダードマイクロシステムズ（株）,東京都品川区北品川４－７－３５　御殿山トラストタワー１３階,その他非製造業,202756,未上場,スタンダードマイクロシステムズ,東洋マイクロシステムズ（株）（2002.3）,ＳＭＳＣ　Ｊａｐａｎ,140-0001,03-6847-9300,http://www.smsc.jp/,［営業所］　関西（大阪市北区西天満３－５－１０ＴＥＬ０６－６３６２－６２０１）,半導体集積回路および配線プリント板ユニットの開発，設計，製造，検査，販売および輸出入,スタンダード・マイクロシステムズ・コーポレーション（米）,トーメンエレクトロニクス，インターニックス，マヴネットジャパン，マクニカ,ＣｉｒｃＬｉｎｋ，Ｃａｒｎｅｔ，ＲｉｐＳｔｒｅａｍ,三井住友，三菱東京ＵＦＪ,198601,95,35.6221677,139.7370215
